,count,mean,std,min,25%,50%,75%,max,Missing Values,Median
Bhindi (Ladies finger),287.0,29.44425087108014,8.124814793787433,17.0,22.0,27.5,33.0,60.0,0,27.5
Tomato,287.0,16.006968641114984,0.11805626722019108,16.0,16.0,16.0,16.0,18.0,0,16.0
Onion,287.0,20.649825783972126,11.711203991075879,8.0,12.0,16.0,25.0,57.0,0,16.0
Potato,287.0,18.585365853658537,2.7262377932864252,12.0,16.0,20.0,20.0,24.0,0,20.0
Brinjal,287.0,31.65505226480836,11.725420679857779,14.0,25.0,30.0,35.0,80.0,0,30.0
Garlic,287.0,133.10104529616726,60.078330852848886,50.0,85.0,120.0,165.0,290.0,0,120.0
Peas,287.0,66.65853658536585,33.30241473559476,22.0,40.0,60.0,80.0,150.0,0,60.0
Methi,287.0,20.38327526132404,117.42841651839802,5.0,8.0,12.0,16.0,2000.0,0,12.0
Green Chilli,287.0,44.12240418118467,12.79659002342713,0.13,35.0,40.0,50.0,90.0,0,40.0
Elephant Yam (Suran),287.0,28.797909407665504,6.607973236890161,12.0,25.0,30.0,30.0,50.0,0,30.0
